,image,label,volume,centroid,extent,axis_major,axis_minor,bbox,slide,section,region,plaque,date,number,masksize,zplane,znumber,otsuthreshold,mean,ID,Genotype,mean_intensity_norm,mean_intensity,methoxy_oc_ratio,oc_methoxy_ratio
10,B_1_M04_OC_L23_P+_021123_2.tif,2,99042.0,"(6.554007390803902, 188.03704489004664, 227.7695220209608)",0.232985179957657,176.99190525790317,13.0936147177818,"(2, 109, 123, 15, 259, 341)",B,1,L23,P+,21123,2,740,23,24,10.449219,1.3868337,PF339,APPPS1,0.0073925658306382,1.8851042868127643,0.38534157226227256,2.595100222717149
11,B_1_M04_OC_L4_P+_021123_1.tif,1,324682.0,"(8.763642579508565, 178.30163359841322, 197.21779464214217)",0.2226373046158488,241.87182136747853,27.959402787935822,"(0, 38, 65, 19, 293, 366)",B,1,L4,P+,21123,1,0,19,20,4.1992188,2.089126,PF339,APPPS1,0.0628779183722701,16.033869184928875,0.22176468051816856,4.509284335374915
12,B_1_M04_OC_L4_P+_021123_2.tif,1,754048.0,"(14.753628416228144, 211.4187200284332, 217.25742393057206)",0.2889072796934865,261.9365361257569,43.81948944580408,"(0, 45, 78, 29, 345, 378)",B,1,L4,P+,21123,2,0,29,30,4.3945312,2.6866102,PF339,APPPS1,0.0338248015469163,8.625324394463668,0.5976993507044644,1.6730819580469232
13,B_1_M04_OC_L4_P+_021123_3.tif,4,141537.0,"(19.62347654676869, 159.14257049393444, 165.57307983071564)",0.3177464978448276,244.71297294067173,8.235577630282528,"(15, 53, 41, 23, 293, 273)",B,1,L4,P+,21123,3,0,22,23,3.6132812,2.2145102,PF339,APPPS1,0.0385901255927207,9.84048202614379,1.3793707652415976,0.7249682429109982
14,B_2_M04_OC_CA1_P+_031123_1.tif,1,1419773.0,"(10.930504383447213, 145.83884818206855, 239.62858287909404)",0.4141791523722841,397.8541957252289,30.18410166689241,"(0, 0, 3, 23, 368, 408)",B,2,CA1,P+,31123,1,15060,25,26,6.3476562,2.6124485,PF342,APPPS1,0.0029433202538993,0.7505466647443291,0.26708706250928843,3.7440974886802056
15,B_2_M04_OC_CA1_P+_031123_2.tif,1,789785.0,"(7.74589033724368, 195.0213260570915, 276.2921250720133)",0.2860992534761466,385.48752299566667,16.399630890972695,"(0, 0, 0, 17, 398, 408)",B,2,CA1,P+,31123,2,1163,49,50,8.300781,5.3624043,PF342,APPPS1,0.0256572933864049,6.542609813533256,2.505157732800699,0.39917646178790783
16,B_2_M04_OC_DGG_P+_031123_1.tif,1,647998.0,"(8.74532483124948, 208.1730946700453, 230.62929360893088)",0.3660840188014101,253.1400630460344,26.306283598398352,"(0, 41, 102, 20, 337, 401)",B,2,DGG,P+,31123,1,38548,23,24,4.9804688,2.022661,PF342,APPPS1,0.0018161613934308,0.463121155324875,0.23421214263006984,4.269633456107638
17,B_2_M04_OC_L1_P+_031123_1.tif,1,273039.0,"(7.644006900113171, 233.89147337926084, 186.8888693556598)",0.1835180013509835,331.06564848396704,12.01151021209986,"(0, 53, 0, 11, 408, 381)",B,2,L1,P+,31123,1,0,37,38,1.0742188,0.6148772,PF342,APPPS1,0.0120609955823928,3.0755538735101884,6.803676397877227,0.1469793596168101
18,B_2_M04_OC_L1_P+_031123_2.tif,1,280933.0,"(4.1148636863593815, 218.61910135156782, 195.49015245627962)",0.2574178769414028,313.8691866543724,15.87501042302898,"(0, 84, 0, 10, 383, 365)",B,2,L1,P+,31123,2,2692,16,17,7.5195312,2.022299,PF342,APPPS1,0.0165196172663606,4.212502402921953,0.7437823253231197,1.34447938053055
19,B_2_M04_OC_L23_P+_031123_1.tif,1,602631.0,"(14.834464207782208, 124.95785812545321, 176.98859003270658)",0.2250995078396041,286.91581316382667,28.95571181780858,"(0, 0, 3, 24, 309, 364)",B,2,L23,P+,31123,1,21516,37,38,7.1289062,2.857662,PF342,APPPS1,0.016246414463517,4.142835688196848,1.2306303525706443,0.812591691657138
20,B_2_M04_OC_L23_P+_031123_2.tif,1,115324.0,"(7.559345843016198, 186.98146959869584, 185.99556900558426)",0.2682764556726452,138.73200643072303,20.00503834193802,"(0, 86, 106, 15, 264, 267)",B,2,L23,P+,31123,2,0,17,18,1.8554688,0.92517406,PF342,APPPS1,0.0029403283804871,0.7497837370242214,0.6464829523776491,1.5468311984441017
21,B_3_M04_OC_CA1_P+_131123_1.tif,1,156654.0,"(9.550780701418413, 178.3808201514165, 198.03993514369247)",0.2786208221283134,155.82181614057217,27.33156625711602,"(0, 106, 74, 19, 243, 290)",B,3,CA1,P+,131123,1,0,18,19,1.6601562,0.81147426,PF346,APPPS1xFIRE,0.00603778901026,1.539636197616301,0.7843655444482746,1.2749157673714537
22,B_3_M04_OC_DGG_P+_131123_1.tif,1,288769.0,"(13.135430049624441, 181.089545622972, 196.6834424747809)",0.2162237647041205,194.1016670726627,44.43586455099374,"(0, 77, 82, 30, 286, 295)",B,3,DGG,P+,131123,1,0,29,30,2.2460938,1.2574596,PF346,APPPS1xFIRE,0.0114670262568695,2.92409169550173,0.6806374645477873,1.4692109266485878
23,B_3_M04_OC_DGM_P+_131123_1.tif,10,242745.0,"(36.22508393581742, 222.19689385981172, 206.25221528764754)",0.1973945818035446,287.8565099935108,15.243261462701666,"(27, 62, 84, 42, 381, 341)",B,3,DGM,P+,131123,1,605,41,42,6.1523438,2.1141665,PF346,APPPS1xFIRE,0.0094813646335119,2.41774798154556,2.847634348802241,0.3511686816183459
24,B_3_M04_OC_L1_P+_061123_2.tif,2,89135.0,"(7.110573848656532, 216.5563919896786, 196.84292365512985)",0.2280530737977546,119.94252478792323,27.403926163746803,"(0, 154, 130, 21, 295, 262)",B,3,L1,P+,61123,2,0,23,24,3.8085938,0.9198107,PF346,APPPS1xFIRE,0.0110230982050644,2.8108900422914265,1.071296348235822,0.9334485286417425
25,B_3_M04_OC_L23_P+_061123_1.tif,1,1003594.0,"(12.837854750028399, 215.10670948610692, 229.73551754992556)",0.2540784184460616,315.3242835407859,30.75502963241675,"(0, 12, 22, 27, 391, 408)",B,3,L23,P+,61123,1,7827,32,33,11.425781,1.435121,PF346,APPPS1xFIRE,0.027893942563569,7.112955353710111,0.4412959822398301,2.266052808648805
26,B_3_M04_OC_L4_P+_131123_1.tif,1,105020.0,"(10.205046657779471, 210.24566749190632, 200.1713959245858)",0.2237305178481649,141.44320503540982,19.37473274890678,"(0, 131, 109, 17, 287, 286)",B,3,L4,P+,131123,1,0,17,18,1.8554688,1.2355474,PF346,APPPS1xFIRE,0.0104733002389729,2.670691560938101,0.6668539325842696,1.4995787700084247
27,B_4_M04_OC_CA1_P+_151123_1.tif,1,264639.0,"(8.356557423509006, 165.75539130664794, 226.5410124735961)",0.3070627958785853,211.1975227712584,28.595516767429864,"(0, 85, 105, 20, 247, 371)",B,4,CA1,P+,151123,1,6438,20,21,11.621094,2.0636938,PF349,APPPS1xFIRE,0.0412463673474003,10.51782367358708,0.37006639233068445,2.7022178201646008
28,B_4_M04_OC_DGG_P+_151123_1.tif,1,1332826.0,"(14.544535445737102, 219.1349530996544, 209.6328605534406)",0.2638610986884213,312.6970114832503,51.49116083687334,"(0, 57, 37, 39, 408, 406)",B,4,DGG,P+,151123,1,5870,42,43,4.5898438,2.534837,PF349,APPPS1xFIRE,0.0331301921960633,8.448199009996156,0.21141394300531352,4.7300569952231895
29,B_4_M04_OC_DGM_P+_131123_1.tif,1,1146891.0,"(11.350197185259976, 212.51793936825732, 171.69382181916154)",0.3731456040604182,333.84903563789675,35.351403888343185,"(0, 48, 0, 25, 369, 383)",B,4,DGM,P+,131123,1,0,29,30,3.4179688,1.5387408,PF349,APPPS1xFIRE,0.0275294051684495,7.019998317954633,0.39830724977351817,2.5106246511169727
30,B_4_M04_OC_L1_P+_131123_1.tif,1,403790.0,"(9.789531687263182, 219.5029445999158, 208.51093637782014)",0.3148214564166536,227.857939440772,30.1325301947628,"(0, 96, 75, 20, 338, 340)",B,4,L1,P+,131123,1,1542,26,27,5.9570312,2.5841835,PF349,APPPS1xFIRE,0.0125350779489035,3.196444876970396,0.7851259317962307,1.2736810230075766
31,B_4_M04_OC_L23_P+_131123_1.tif,1,256492.0,"(7.575390265583332, 215.3713994978401, 209.94977621134382)",0.3574452666638795,215.1386761380544,19.793581014073965,"(0, 120, 94, 15, 321, 332)",B,4,L23,P+,131123,1,10117,15,16,12.597656,2.2612572,PF349,APPPS1xFIRE,0.0163751592524745,4.175665609381007,0.5829889431249318,1.715298397667389
32,B_4_M04_OC_L4_P+_131123_1.tif,1,737883.0,"(13.610103498793169, 154.40239983845677, 189.18802032300513)",0.2432119750460544,308.0227761048481,35.18921003022597,"(0, 14, 3, 27, 327, 362)",B,4,L4,P+,131123,1,2240,30,31,9.082031,1.2144119,PF349,APPPS1xFIRE,0.0124061918115958,3.1635789119569395,1.1273304846432293,0.8870513248973959
33,C_1_M04_OC_CA1_P+_151123_1.tif,1,141263.0,"(8.410199415275054, 148.79468084353297, 223.24436689012694)",0.2375669330534926,168.28228152735204,24.75654540618068,"(0, 40, 149, 19, 232, 312)",C,1,CA1,P+,151123,1,0,18,19,3.2226562,1.6620371,PF369,APPPS1xFIRE,0.0074299995853781,1.894649894271434,0.7630660540976759,1.3105025372705092
34,C_1_M04_OC_DGG_P+_151123_1.tif,1,88235.0,"(9.921890406301355, 206.74162180540603, 183.3562418541395)",0.2785969587511682,96.7960807095684,29.220025126922,"(0, 145, 128, 22, 267, 246)",C,1,DGG,P+,151123,1,2160,21,22,6.1523438,1.0679848,PF369,APPPS1xFIRE,0.0064688308041401,1.6495518550557478,0.8048393494644982,1.2424839822572695
35,C_1_M04_OC_DGM_P+_151123_1.tif,5,205085.0,"(35.42183484896506, 179.58069093302777, 219.5679059901992)",0.1658845016468335,219.0291302342334,22.44499404242901,"(22, 52, 96, 46, 283, 319)",C,1,DGM,P+,151123,1,7493,45,46,10.644531,1.9397501,PF369,APPPS1xFIRE,0.0084226654906483,2.1477797001153403,1.6905722017699978,0.5915157003960071
36,C_1_M04_OC_L1_P+_151123_1.tif,12,231832.0,"(23.9503994271714, 136.21725646157563, 206.99703233375894)",0.4804210875331565,230.4269030646824,9.512975739379078,"(20, 18, 85, 28, 278, 317)",C,1,L1,P+,151123,1,3,27,28,6.3476562,2.4855974,PF369,APPPS1xFIRE,0.0027643968006272,0.7049211841599384,2.3194295869422685,0.43114048627719365
37,C_1_M04_OC_L23_P+_151123_2.tif,1,882098.0,"(18.86690707835184, 162.87449013601665, 197.35043385202098)",0.2155091179302478,277.55486952708094,39.51687755095744,"(0, 0, 31, 33, 329, 408)",C,1,L23,P+,151123,2,24841,34,35,8.496094,1.4779794,PF369,APPPS1xFIRE,0.0310880147906913,7.927443771626297,0.4364016243093171,2.2914671813668823
38,C_1_M04_OC_L4_P+_151123_1.tif,1,134301.0,"(9.851758363675625, 195.82039597620272, 202.56332417480138)",0.2355166245791246,129.80283900074744,22.07845328473229,"(0, 114, 118, 22, 276, 278)",C,1,L4,P+,151123,1,5276,25,26,10.253906,1.2132515,PF369,APPPS1xFIRE,0.0133436140700032,3.4026215878508266,0.8224510614217317,1.2158778156007821
39,C_2_M04_OC_CA1_P+_161123_1.tif,1,251312.0,"(7.72377363595849, 210.79487250907238, 221.61266075635066)",0.3426843186798352,209.9419436959384,20.999307412020137,"(0, 124, 115, 17, 303, 356)",C,2,CA1,P+,161123,1,0,17,18,3.4179688,0.8103671,PF376,APPPS1,0.0119623579920241,3.050401287966167,0.2543451964092443,3.9316645807259074
40,C_2_M04_OC_DGG_P+_161123_1.tif,1,992217.0,"(6.798119766139867, 171.3192809637408, 191.5593776361421)",0.4934870965431627,428.09730988098187,18.299875101581623,"(0, 0, 0, 14, 352, 408)",C,2,DGG,P+,161123,1,0,49,50,3.0273438,1.6635952,PF376,APPPS1,0.0323326105721027,8.244815695886198,1.2248943527474332,0.8163969388519131
41,C_2_M04_OC_DGM_P+_161123_1.tif,1,344402.0,"(7.6629171723741445, 223.70179034964954, 210.9295706761285)",0.1861320535477839,238.41830447722265,19.227407546083903,"(0, 90, 35, 22, 357, 350)",C,2,DGM,P+,161123,1,8672,29,30,12.792969,2.0961928,PF376,APPPS1,0.012900133621307,3.2895340734332947,0.47385903682324726,2.1103322344636575
42,C_2_M04_OC_L1_P+_161123_1.tif,11,59783.0,"(33.176103574594784, 214.2239432614623, 178.36329725841796)",0.1281357167352537,246.3881073781466,6.11446243631372,"(28, 88, 66, 37, 358, 258)",C,2,L1,P+,161123,1,0,38,39,2.2460938,1.0946094,PF376,APPPS1,0.0033665407724027,0.8584678969627066,11.661392034524864,0.08575305564201832
43,C_2_M04_OC_L1_P+_161123_2.tif,12,66230.0,"(22.214011777140268, 151.48108108108107, 244.0013136041069)",0.2947642953784803,191.4309044161435,7.884504417768155,"(19, 76, 165, 27, 227, 351)",C,2,L1,P+,161123,2,44,26,27,11.816406,0.14537679,PF376,APPPS1,0.0008940047568431,0.2279712129950019,2.600196285671146,0.38458635046541745
44,C_2_M04_OC_L1_P+_161123_3.tif,1,280388.0,"(7.0222762743056055, 185.81376164457822, 203.7531848723911)",0.2473538882272506,194.4355244583656,26.842084143659736,"(0, 72, 87, 22, 301, 312)",C,2,L1,P+,161123,3,1624,21,22,8.886719,1.5291771,PF376,APPPS1,0.0252017512118265,6.426446559015763,0.7220458792815669,1.3849535447733547
45,C_2_M04_OC_L23_P+_161123_1.tif,5,241171.0,"(18.58269443672747, 216.85934046796672, 187.8050885056661)",0.3508737982727717,307.8552747149729,8.095959878544186,"(14, 79, 27, 22, 345, 350)",C,2,L23,P+,161123,1,0,23,24,3.4179688,1.3391284,PF376,APPPS1,0.0176589320849447,4.5030276816609,1.36459607498414,0.7328175848751599
46,C_2_M04_OC_L23_P+_161123_2.tif,1,370651.0,"(5.69126482863934, 224.66703448796846, 214.74200258464163)",0.2226613562091503,332.3333237733219,18.275848310090428,"(0, 65, 0, 12, 405, 408)",C,2,L23,P+,161123,2,0,14,15,1.4648438,0.9137058,PF376,APPPS1,0.0141319844931436,3.603656045751634,0.22286463546570764,4.4870286302281945
47,C_2_M04_OC_L4_P+_161123_1.tif,1,594583.0,"(10.348612388850674, 185.50541640107437, 195.89104969365084)",0.2593442494242445,300.3748516057379,30.8803143138658,"(0, 0, 16, 20, 322, 372)",C,2,L4,P+,161123,1,0,21,22,2.6367188,1.5805377,PF376,APPPS1,0.0188434077014119,4.805068963860053,0.42977851704471876,2.3267798653043177
48,C_2_M04_OC_L4_P+_161123_2.tif,1,146170.0,"(13.660210713552713, 144.97630156666895, 205.7566942601081)",0.1105464170920779,175.82174835373195,33.84334061437356,"(0, 24, 99, 30, 229, 314)",C,2,L4,P+,161123,2,6687,32,33,5.1757812,2.5136256,PF376,APPPS1,0.0024135466374169,0.6154543925413303,2.553314633645755,0.3916477769025074
49,D_3_M04_OC_CA1_P+_221123_1.tif,1,153293.0,"(8.516638072188554, 206.12966671667982, 196.15021560019048)",0.336589596644929,140.79980688877845,28.088556464677765,"(0, 136, 101, 19, 277, 271)",D,3,CA1,P+,221123,1,19,18,19,5.5664062,1.70751,PF415,APPPS1xFIRE,0.0055212079064613,1.4079080161476356,0.7746863848968968,1.2908449399599171
50,D_3_M04_OC_DGG_P+_221123_1.tif,1,688901.0,"(9.627894283794044, 202.3570846899627, 216.6023376363222)",0.3462370833500864,297.6356683375789,28.088399847034008,"(0, 21, 90, 22, 361, 356)",D,3,DGG,P+,221123,1,10121,24,25,9.863281,2.1608834,PF415,APPPS1xFIRE,0.0159208656549894,4.059820742022299,0.45942160049121716,2.1766499418634044
51,D_3_M04_OC_DGM_P+_221123_1.tif,1,336278.0,"(14.968579568095445, 211.68281302969567, 175.61652858646715)",0.2255863751137062,231.6372732335194,35.74611494225371,"(0, 106, 22, 26, 324, 285)",D,3,DGM,P+,221123,1,0,25,26,2.0507812,1.4966575,PF415,APPPS1xFIRE,0.0034948144001929,0.8911776720492118,0.9519118110610864,1.0505174832165494
52,D_3_M04_OC_L1_P+_221123_1.tif,1,224119.0,"(11.828207336281173, 205.92631593037626, 233.8988751511474)",0.1475453329330658,255.9080413562983,12.091876171589703,"(0, 77, 93, 18, 369, 382)",D,3,L1,P+,221123,1,5755,27,28,4.5898438,2.905515,PF415,APPPS1xFIRE,0.0235626993011737,6.008488321799308,2.920591293018441,0.34239641896846734
53,D_3_M04_OC_L1_P+_221123_2.tif,1,319670.0,"(6.256326837050708, 196.32933024681702, 187.76029029937123)",0.2027704197621077,254.40715986536964,24.161087429222825,"(0, 44, 0, 16, 350, 322)",D,3,L1,P+,221123,2,4682,18,19,8.691406,1.7301762,PF415,APPPS1xFIRE,0.0095414376823393,2.43306660899654,0.5361247536522038,1.8652375089711348
54,D_3_M04_OC_L23_P+_221123_1.tif,1,552826.0,"(5.45333974885407, 205.71292956554143, 180.87745149468367)",0.2718630991722531,372.4330704494071,12.6317487129215,"(0, 29, 0, 14, 385, 408)",D,3,L23,P+,221123,1,23564,27,28,10.644531,5.3239202,PF415,APPPS1xFIRE,0.0221162580757024,5.639645809304114,1.675860035526549,0.5967085429576484
55,D_3_M04_OC_L4_P+_221123_1.tif,1,548864.0,"(4.436108034048507, 236.60749657474346, 198.24475279850745)",0.4053289221043925,387.2976027349964,12.95615547230658,"(0, 20, 59, 10, 408, 408)",D,3,L4,P+,221123,1,0,30,31,4.3945312,2.6903815,PF415,APPPS1xFIRE,0.0466736257171072,11.90177455786236,1.1688050227378732,0.8555746942783878
56,D_4_M04_OC_CA1_P+_221123_1.tif,1,155820.0,"(10.282049801052496, 199.58011808496983, 209.8466050571172)",0.2245089676794688,153.166299092185,33.08957452911098,"(0, 107, 118, 23, 271, 302)",D,4,CA1,P+,221123,1,0,22,23,3.8085938,2.4317107,PF430,APPPS1xFIRE,0.0051446087854595,1.3118752402921954,1.2459761262995763,0.8025835960195314
57,D_4_M04_OC_L1_P+_221123_1.tif,1,127842.0,"(3.780979646751459, 205.01776411507956, 185.8824251810829)",0.4093694963015146,163.75489116977818,11.016208456237225,"(0, 119, 107, 11, 289, 274)",D,4,L1,P+,221123,1,1095,19,20,6.7382812,1.1370227,PF430,APPPS1xFIRE,0.004320406555548,1.1017036716647444,1.4664429530201342,0.6819221967963387
58,D_4_M04_OC_L1_P+_221123_2.tif,1,138832.0,"(3.4057854097038147, 172.83510285813068, 227.93376887172985)",0.2431668864823017,244.0189464209059,7.767376502255548,"(0, 75, 124, 11, 294, 361)",D,4,L1,P+,221123,2,115,20,21,9.472656,1.6723586,PF430,APPPS1xFIRE,0.0029047085962412,0.7407006920415224,1.8852570012677192,0.5304316596238929
59,D_4_M04_OC_L23_P+_221123_1.tif,1,261906.0,"(7.07580582346338, 230.02604751322994, 218.77641596603362)",0.3007810481273105,245.90294502234576,16.621414036507076,"(0, 93, 73, 13, 342, 342)",D,4,L23,P+,221123,1,2326,13,14,5.1757812,2.6904662,PF430,APPPS1xFIRE,0.073788079245539,18.815960207612456,0.810401441738639,1.2339563437283567
60,D_4_M04_OC_L4_P+_221123_1.tif,1,81062.0,"(7.583355949766845, 191.42733956724481, 216.30857861883496)",0.2408201825268561,125.82141402115812,21.61101513609266,"(0, 129, 138, 16, 263, 295)",D,4,L4,P+,221123,1,5510,15,16,4.7851562,2.5253854,PF430,APPPS1xFIRE,0.0064207723650782,1.6372969530949637,0.4986923589351361,2.0052442795299936
61,F_1_M04_OC_CA1_P+_231123_1.tif,1,308896.0,"(14.32215049725474, 233.15165622086397, 183.11929257743708)",0.2474747474747475,163.3762511677755,37.71980284509541,"(0, 131, 82, 32, 328, 280)",F,1,CA1,P+,231123,1,0,32,33,4.3945312,1.3685117,PF455,APPPS1xFIRE,0.0097785495397697,2.493530132641292,1.5702696053040506,0.6368333161529739
62,F_1_M04_OC_L1_P+_231123_1.tif,4,3994.0,"(9.918878317476214, 26.547571357035554, 42.98748122183275)",0.1811337868480725,59.18325910825067,6.771327864054641,"(5, 8, 19, 15, 53, 68)",F,1,L1,P+,231123,1,251,27,28,13.378906,0.12094065,PF455,APPPS1xFIRE,0.0011468062811437,0.292435601691657,56.827991987981974,0.01759696172638795
63,F_1_M04_OC_L23_P+_231123_1.tif,3,75856.0,"(13.389487977219996, 201.5129060324826, 202.37177019616115)",0.4491577108683424,128.25977876679562,10.029791117332543,"(9, 132, 139, 18, 271, 274)",F,1,L23,P+,231123,1,0,17,18,3.8085938,1.5170063,PF455,APPPS1xFIRE,0.0046190756194827,1.1778642829680892,1.9063093229276524,0.52457383907887
64,F_1_M04_OC_L23_P+_231123_2.tif,1,112348.0,"(10.708735357994803, 214.9499234521309, 208.6102645351942)",0.2083647848898994,144.27873576805402,19.187154376310573,"(0, 138, 128, 17, 299, 325)",F,1,L23,P+,231123,2,0,16,17,0.09765625,1.6449801,PF455,APPPS1xFIRE,0.0037226208245697,0.9492683102652826,1.426896784989497,0.7008215384039573
65,F_1_M04_OC_L4_P+_231123_1.tif,2,362007.0,"(10.559099685917676, 217.01014345026476, 198.35892952346225)",0.2348821848551933,206.6160224734631,22.10825627797252,"(0, 107, 97, 26, 384, 311)",F,1,L4,P+,231123,1,9510,25,26,12.011719,3.5910707,PF455,APPPS1xFIRE,0.0072258925677152,1.842602604767397,1.4617093039637354,0.6841305567996916
66,F_1_M04_OC_L4_P+_231123_2.tif,1,58166.0,"(5.949575353299179, 206.08118144620568, 188.3102155898635)",0.2693743342749965,119.73344897216458,13.207842884184648,"(0, 142, 128, 11, 293, 258)",F,1,L4,P+,231123,2,2668,10,11,12.011719,1.358148,PF455,APPPS1xFIRE,0.0149608041024945,3.815005046136101,1.3791046315717086,0.7251081441589688
67,F_2_M04_OC_CA1_P+_231123_1.tif,2,296846.0,"(14.743786340391988, 187.84440416916516, 229.4512373419214)",0.1836066182155559,241.09901733110968,32.83773310365578,"(0, 71, 119, 29, 321, 342)",F,2,CA1,P+,231123,1,3460,29,30,10.058594,1.2559798,PF470,APPPS1xFIRE,0.0090274244069023,2.301993223760092,0.7788819792080742,1.2838915608456454
68,F_2_M04_OC_DGM_P+_231123_1.tif,2,86174.0,"(12.635249611251654, 202.3158957458166, 215.1981224035092)",0.44140184809556,184.85898740779572,10.378657928989869,"(8, 98, 159, 17, 285, 275)",F,2,DGM,P+,231123,1,0,16,17,2.8320312,1.6263443,PF470,APPPS1xFIRE,0.0069853647918221,1.7812680219146482,0.8892357323554668,1.1245611974578815
69,F_2_M04_OC_L23_P+_231123_1.tif,1,159039.0,"(8.076685592842008, 194.3200724350631, 184.16716025628935)",0.2629613095238095,183.8443521109107,23.04597360956164,"(0, 69, 91, 16, 285, 266)",F,2,L23,P+,231123,1,0,17,18,2.4414062,1.4836767,PF470,APPPS1xFIRE,0.0054065508364053,1.3786704632833526,0.7088450002829495,1.4107456490499761
70,F_2_M04_OC_L4_P+_231123_1.tif,1,109007.0,"(7.662205179483887, 202.43963231719064, 192.52652581944278)",0.3118459522706077,119.08659815566564,21.421466520213496,"(0, 136, 117, 17, 274, 266)",F,2,L4,P+,231123,1,0,16,17,2.2460938,1.9911865,PF470,APPPS1xFIRE,0.0059004690880581,1.504619617454825,0.6008329740291908,1.6643560577143293
71,F_3_M04_OC_L1_P+_231123_1.tif,1,606877.0,"(17.635707070790293, 247.44770521868517, 173.13068051680983)",0.2284549999247112,280.3530357698428,46.451642822067086,"(0, 70, 69, 36, 384, 304)",F,3,L1,P+,231123,1,5789,35,36,6.9335938,2.483834,PF453,APPPS1,0.0071788706832213,1.8306120242214527,1.0398037823150326,0.9617199100522477
72,F_3_M04_OC_L23_P+_231123_1.tif,1,547956.0,"(10.756582645321886, 196.60075626510158, 217.90843242888116)",0.3125034218450588,240.7781331168079,28.70711090195585,"(0, 89, 76, 26, 329, 357)",F,3,L23,P+,231123,1,6331,27,28,4.9804688,1.9848436,PF453,APPPS1,0.0165503840905835,4.220347943098808,0.6767678426734993,1.4776115780702677
